Time	Oxygen	Wind_GEOMAR	Wind_Dir_GEOMAR
1535887732	-0.0907749	0.0330263	-0.893098
1535888263	-0.0936019	-0.00939453	-0.890418
1535888795	-0.0414055	0.0727543	-0.874875
1535889326	-0.0572092	0.0878156	-0.825633
1535889857	-0.0817361	0.0547422	-0.858014
1535890389	-0.12529	0.0760535	-0.905714
1535890920	-0.149674	0.101021	-0.92238
1535891451	-0.202032	0.115052	-0.948589
1535891983	-0.182161	0.0910511	-0.92671
1535892514	-0.202737	0.0874442	-0.92714
1535893045	-0.294934	0.0915515	-0.909864
1535893577	-0.347872	0.0823106	-0.888595
1535894108	-0.258362	0.0536982	-0.889029
1535894639	-0.162793	0.0708658	-0.90445
1535895171	-0.0839336	0.138546	-0.852966
1535895702	-0.056149	0.170503	-0.776687
1535896234	-0.0562179	0.124942	-0.773939
1535896765	-0.075789	0.148447	-0.748288
1535897296	-0.0854889	0.172332	-0.754552
1535897828	-0.0890926	0.186179	-0.74865
1535898359	-0.0827187	0.177093	-0.76169
1535898890	-0.0861578	0.18087	-0.765458
1535899422	-0.130285	0.169715	-0.76798
1535899953	-0.149512	0.223959	-0.778621
1535900484	-0.153496	0.279727	-0.721375
1535901016	-0.159237	0.259121	-0.712305
1535901547	-0.154837	0.232042	-0.760876
1535902078	-0.155289	0.227366	-0.813321
1535902610	-0.168182	0.257816	-0.780571
1535903141	-0.177333	0.287975	-0.796163
1535903672	-0.184616	0.275702	-0.765836
1535904204	-0.204306	0.24106	-0.783213
1535904735	-0.203855	0.209045	-0.833127
1535905266	-0.217185	0.190219	-0.834807
1535905798	-0.22291	0.177089	-0.886312
1535906329	-0.222498	0.208029	-0.845228
1535906861	-0.232076	0.252263	-0.839466
1535907392	-0.235262	0.1891	-0.875951
1535907923	-0.237857	0.179158	-0.903104
1535908455	-0.240586	0.182512	-0.878601
1535908986	-0.24166	0.194554	-0.850547
1535909517	-0.24187	0.145352	-0.865155
1535910049	-0.247754	0.104636	-0.879454
1535910580	-0.258202	0.118583	-0.846276
1535911111	-0.260856	0.145996	-0.825104
1535911643	-0.265824	0.202574	-0.838265
1535912174	-0.256101	0.236681	-0.816148
1535912705	-0.259283	0.225847	-0.806205
1535913237	-0.270033	0.19881	-0.791302
1535913768	-0.264716	0.159442	-0.827012
1535914299	-0.259708	0.18298	-0.807976
1535914831	-0.26191	0.139554	-0.795031
1535915362	-0.273231	0.110494	-0.80241
1535915893	-0.271683	0.120967	-0.795696
1535916425	-0.26507	0.121137	-0.786965
1535916956	-0.272122	0.101863	-0.808131
1535917488	-0.268778	0.125944	-0.811987
1535918019	-0.271818	0.15561	-0.803195
1535918550	-0.266606	0.165318	-0.794298
1535919082	-0.264155	0.16557	-0.788976
1535919613	-0.252749	0.186681	-0.781961
1535920144	-0.248802	0.178975	-0.786907
1535920676	-0.254031	0.201911	-0.787771
1535921207	-0.234874	0.224805	-0.781961
1535921738	-0.227403	0.233075	-0.788419
1535922270	-0.22077	0.22051	-0.770353
1535922801	-0.216399	0.221616	-0.767416
1535923332	-0.209668	0.218971	-0.744316
1535923864	-0.219089	0.237612	-0.752039
1535924395	-0.224507	0.246739	-0.72709
1535924926	-0.230959	0.242296	-0.699537
1535925458	-0.233091	0.278258	-0.700544
1535925989	-0.228147	0.25653	-0.689524
1535926520	-0.22881	0.252752	-0.685856
1535927052	-0.231343	0.239905	-0.696091
1535927583	-0.230163	0.24196	-0.71049
1535928115	-0.237795	0.186426	-0.715743
1535928646	-0.235623	0.166417	-0.707839
1535929177	-0.253888	0.141732	-0.718371
1535929709	-0.265003	0.144457	-0.718728
1535930240	-0.247755	0.154853	-0.725401
1535930771	-0.251867	0.165333	-0.733784
1535931303	-0.271863	0.16014	-0.749614
1535931834	-0.23859	0.167944	-0.747229
1535932365	-0.233434	0.132506	-0.763085
1535932897	-0.23974	0.12819	-0.750328
1535933428	-0.230904	0.10708	-0.725171
1535933959	-0.22923	0.116895	-0.735324
1535934491	-0.237829	0.0970124	-0.721178
1535935022	-0.314537	0.124527	-0.692851
1535935553	-0.263089	0.135926	-0.708541
1535936085	-0.260242	0.182457	-0.731073
1535936616	-0.277578	0.177549	-0.736911
1535937147	-0.259038	0.0789512	-0.788359
